Date,Country,City,Specie,count,min,max,median,variance
5/10/2020,VN,Ha Noi,pm10,24,11,33,20,339.11
14/12/2020,VN,Ha Noi,pm10,24,12,37,24,709.98
31/01/2020,VN,Ha Noi,pm10,24,40,72,63,1166.07
16/03/2020,VN,Ha Noi,pm10,24,50,66,59,255.58
8/5/2020,VN,Ha Noi,pm10,24,19,54,38,795.05
15/06/2020,VN,Ha Noi,pm10,24,17,35,23,409.55
19/05/2020,VN,Ha Noi,pm10,24,21,52,39,943.48
28/06/2020,VN,Ha Noi,pm10,24,20,37,27,200.85
25/08/2020,VN,Ha Noi,pm10,24,5,31,21,674.77
30/09/2020,VN,Ha Noi,pm10,24,13,29,23,174.62
21/01/2020,VN,Ha Noi,pm10,24,49,79,68,748.24
27/02/2020,VN,Ha Noi,pm10,24,32,50,41,309.78
6/4/2020,VN,Ha Noi,pm10,24,13,34,16,408.41
12/5/2020,VN,Ha Noi,pm10,24,19,35,24,266.09
18/11/2020,VN,Ha Noi,pm10,20,18,26,23,71.16
12/3/2020,VN,Ha Noi,pm10,24,30,52,40,457.61
23/04/2020,VN,Ha Noi,pm10,24,3,12,7,45.2
30/04/2020,VN,Ha Noi,pm10,24,42,54,49,155.63
5/5/2020,VN,Ha Noi,pm10,24,26,51,42,630.15
4/1/2020,VN,Ha Noi,pm10,24,34,55,44,482.54
14/01/2020,VN,Ha Noi,pm10,24,56,104,93,1235.2
18/01/2020,VN,Ha Noi,pm10,24,31,69,52,1489.49
23/01/2020,VN,Ha Noi,pm10,24,24,44,31,196.45
9/9/2020,VN,Ha Noi,pm10,24,9,37,23,491.72
15/10/2020,VN,Ha Noi,pm10,24,4,22,8,189.11
27/07/2020,VN,Ha Noi,pm10,24,17,53,45,959.06
19/11/2020,VN,Ha Noi,pm10,24,18,38,27,354.49
18/12/2020,VN,Ha Noi,pm10,24,10,38,16,905.49
31/12/2020,VN,Ha Noi,pm10,24,24,50,28,694.62
20/03/2020,VN,Ha Noi,pm10,24,30,55,50,505.8
22/03/2020,VN,Ha Noi,pm10,14,19,28,22,78.08
19/04/2020,VN,Ha Noi,pm10,24,12,22,17,70.36
7/6/2020,VN,Ha Noi,pm10,24,21,69,41,2148.53
15/01/2021,VN,Ha Noi,pm10,24,53,74,61,497.32
28/09/2020,VN,Ha Noi,pm10,24,8,50,19,1729.98
23/02/2020,VN,Ha Noi,pm10,24,33,95,76,4931.88
11/5/2020,VN,Ha Noi,pm10,24,25,45,32,396.23
27/05/2020,VN,Ha Noi,pm10,24,17,42,25,664.35
14/08/2020,VN,Ha Noi,pm10,24,4,19,14,179.55
11/4/2020,VN,Ha Noi,pm10,24,18,27,23,56.52
15/04/2020,VN,Ha Noi,pm10,24,16,51,28,1062.32
21/04/2020,VN,Ha Noi,pm10,24,10,25,15,168.68
21/05/2020,VN,Ha Noi,pm10,24,24,59,47,1169.55
9/1/2020,VN,Ha Noi,pm10,24,36,65,49,690.65
4/3/2020,VN,Ha Noi,pm10,21,11,36,20,698.62
19/03/2020,VN,Ha Noi,pm10,24,9,36,14,713.46
5/4/2020,VN,Ha Noi,pm10,24,6,16,7,77.37
15/09/2020,VN,Ha Noi,pm10,24,13,25,19,129.98
4/1/2021,VN,Ha Noi,pm10,24,51,74,65,388.1
9/1/2021,VN,Ha Noi,pm10,24,19,34,21,148.1
18/02/2020,VN,Ha Noi,pm10,23,34,60,55,566.76
2/4/2020,VN,Ha Noi,pm10,24,15,53,26,967.75
14/05/2020,VN,Ha Noi,pm10,24,11,34,25,562.88
8/10/2020,VN,Ha Noi,pm10,24,12,38,20,300.58
20/09/2020,VN,Ha Noi,pm10,24,14,39,23,477.1
7/11/2020,VN,Ha Noi,pm10,24,11,55,26,2572.39
26/11/2020,VN,Ha Noi,pm10,24,27,52,33,467.75
9/12/2020,VN,Ha Noi,pm10,24,26,73,48,2509.28
6/2/2020,VN,Ha Noi,pm10,24,42,67,57,450.71
11/3/2020,VN,Ha Noi,pm10,24,42,64,52,298.19
17/04/2020,VN,Ha Noi,pm10,24,12,19,15,33.04
31/08/2020,VN,Ha Noi,pm10,24,23,46,32,360.85
30/12/2020,VN,Ha Noi,pm10,24,14,39,24,536.5
5/7/2020,VN,Ha Noi,pm10,24,12,30,22,186.67
14/10/2020,VN,Ha Noi,pm10,24,4,40,14,1075.2
27/10/2020,VN,Ha Noi,pm10,24,22,55,35,1249.28
13/11/2020,VN,Ha Noi,pm10,24,18,62,46,1845.92
10/1/2020,VN,Ha Noi,pm10,24,34,53,41,307.54
26/01/2020,VN,Ha Noi,pm10,24,6,29,16,584.57
24/02/2020,VN,Ha Noi,pm10,24,42,59,52,289.78
8/6/2020,VN,Ha Noi,pm10,24,16,70,30,3160
1/1/2021,VN,Ha Noi,pm10,24,26,64,46,1505.63
2/12/2020,VN,Ha Noi,pm10,24,39,60,44,426.09
13/04/2020,VN,Ha Noi,pm10,19,9,31,23,276.08
14/06/2020,VN,Ha Noi,pm10,24,20,39,29,303.89
24/06/2020,VN,Ha Noi,pm10,24,22,53,35,964.93
12/8/2020,VN,Ha Noi,pm10,24,8,35,22,477.81
19/08/2020,VN,Ha Noi,pm10,24,16,27,22,137.32
12/9/2020,VN,Ha Noi,pm10,24,17,36,20,361.45
23/09/2020,VN,Ha Noi,pm10,24,7,31,20,329.27
9/11/2020,VN,Ha Noi,pm10,24,14,60,30,2101.09
15/02/2020,VN,Ha Noi,pm10,24,27,53,40,716.45
10/5/2020,VN,Ha Noi,pm10,24,30,45,39,205.44
22/06/2020,VN,Ha Noi,pm10,24,17,44,25,830.36
13/07/2020,VN,Ha Noi,pm10,24,23,54,33,844.76
21/12/2020,VN,Ha Noi,pm10,24,25,49,32,588.62
7/1/2021,VN,Ha Noi,pm10,24,24,71,50,2743.46
29/01/2020,VN,Ha Noi,pm10,24,41,62,45,338.24
26/02/2020,VN,Ha Noi,pm10,15,36,53,41,231.14
6/6/2020,VN,Ha Noi,pm10,24,24,71,35,2134.33
29/09/2020,VN,Ha Noi,pm10,24,15,53,28,1620.58
6/10/2020,VN,Ha Noi,pm10,24,12,48,18,1151.88
4/12/2020,VN,Ha Noi,pm10,24,15,41,21,595.58
29/12/2020,VN,Ha Noi,pm10,24,12,30,16,241.29
17/01/2021,VN,Ha Noi,pm10,24,29,65,45,1453.75
3/1/2020,VN,Ha Noi,pm10,24,31,57,44,649.84
12/6/2020,VN,Ha Noi,pm10,24,17,42,31,464.06
29/07/2020,VN,Ha Noi,pm10,24,33,55,43,551.88
8/8/2020,VN,Ha Noi,pm10,22,14,30,18,315.76
25/06/2020,VN,Ha Noi,pm10,24,18,67,51,2695.63
16/09/2020,VN,Ha Noi,pm10,24,13,26,22,167.75
4/10/2020,VN,Ha Noi,pm10,24,7,58,12,3250.36
21/02/2020,VN,Ha Noi,pm10,24,93,107,97,199.11
26/03/2020,VN,Ha Noi,pm10,17,10,19,12,103.82
6/5/2020,VN,Ha Noi,pm10,24,22,52,37,1112.59
29/05/2020,VN,Ha Noi,pm10,24,30,49,33,276.5
29/02/2020,VN,Ha Noi,pm10,12,28,46,34,266.06
7/8/2020,VN,Ha Noi,pm10,22,7,25,16,329.8
17/11/2020,VN,Ha Noi,pm10,24,13,41,21,921.72
20/01/2021,VN,Ha Noi,pm10,16,45,63,54,387.96
2/3/2020,VN,Ha Noi,pm10,24,22,36,27,198.26
2/8/2020,VN,Ha Noi,pm10,24,4,22,9,197.97
11/10/2020,VN,Ha Noi,pm10,24,12,52,21,1478.19
26/10/2020,VN,Ha Noi,pm10,24,25,51,30,644.62
18/01/2021,VN,Ha Noi,pm10,24,22,56,31,1506.79
27/04/2020,VN,Ha Noi,pm10,24,6,21,11,191.52
13/05/2020,VN,Ha Noi,pm10,24,8,43,30,1102.88
13/06/2020,VN,Ha Noi,pm10,24,19,36,28,210.42
11/9/2020,VN,Ha Noi,pm10,24,10,38,22,628.7
1/2/2020,VN,Ha Noi,o3,48,1.3,15,4.9,120.86
21/02/2020,VN,Ha Noi,o3,43,0.9,12,2.1,56.77
12/5/2020,VN,Ha Noi,o3,46,3.7,18,9,162.37
1/1/2021,VN,Ha Noi,o3,47,0.5,38,3,1114.43
5/1/2020,VN,Ha Noi,o3,47,1.7,11,4,40.85
28/03/2020,VN,Ha Noi,o3,41,4.5,16,12,157.1
11/1/2021,VN,Ha Noi,o3,48,0.9,22,4.1,343.41
17/03/2020,VN,Ha Noi,o3,46,1.7,12,4.9,100.41
9/8/2020,VN,Ha Noi,o3,46,2.5,16,6,159.34
7/12/2020,VN,Ha Noi,o3,48,0.9,35,5,866.45
19/01/2021,VN,Ha Noi,o3,44,0.9,29,3,399.71
19/03/2020,VN,Ha Noi,o3,48,1.3,11,3,54.79
21/06/2020,VN,Ha Noi,o3,47,2.1,31,10.6,516.91
3/12/2020,VN,Ha Noi,o3,48,1.3,20,5,211.11
19/12/2020,VN,Ha Noi,o3,48,1.3,18,6.5,237.5
30/06/2020,VN,Ha Noi,o3,48,4.9,34,12.6,539.73
9/1/2021,VN,Ha Noi,o3,48,1.3,15,5,135.99
16/01/2020,VN,Ha Noi,o3,48,1.3,8,3,31.5
20/01/2020,VN,Ha Noi,o3,47,1.3,15,4.5,144.07
6/2/2020,VN,Ha Noi,o3,40,0.9,8,2,32.29
13/02/2020,VN,Ha Noi,o3,44,1.3,12,3.3,67.7
13/04/2020,VN,Ha Noi,o3,38,2.5,25,7,374.79
15/06/2020,VN,Ha Noi,o3,48,2.5,14,5.7,120.57
22/02/2020,VN,Ha Noi,o3,46,0.9,26,3,378.51
28/02/2020,VN,Ha Noi,o3,48,1.3,10,3.7,54.77
6/4/2020,VN,Ha Noi,o3,48,1.3,16,5,135.4
26/05/2020,VN,Ha Noi,o3,47,3.7,23,9,330.59
5/6/2020,VN,Ha Noi,o3,47,4.1,31,11,493.46
