Index,DO mgO2/l,Na(mg/l),SO4 (mg/l),classification
414,4.23,3.911,5.535,1
415,4.34,3.421,5.178,1
416,3.03,5.0,5.58,0
417,4.77,92.9101613832853,5.982,1
418,3.2087528868360273,5.13,5.465,1
419,4.55,5.078,6.19,1
420,2.97,5.174,2.12,0
421,4.16,4.552,6.905,1
422,3.69,3.455,6.848,1
423,2.97,2.727,6.416,0
424,3.44,5.053,5.19,1
425,3.56,5.84,6.145,1
426,4.08,4.352,8.756,1
427,5.27,3.868,5.717,1
428,3.66,5.354,7.685,1
429,4.05,5.457,14.298,1
430,4.04,4.64,8.147,1
431,3.43,3.555,5.208,1
432,4.13,3.456,5.19,1
433,2.94,5.0,5.652,0
434,4.08,92.9101613832853,5.727,1
