Index,count,min,max,median,variance,classification
349,24,36.0,178,84.0,14188.9,2
350,40,2.3,37,11.0,770.88,1
351,36,30.0,137,89.0,12982.6,2
352,24,2.0,44,11.0,1466.3,1
353,48,3.7,23,9.0,303.25,1
354,47,6.0,213,43.0,21972.7,0
355,43,1.3,6,4.0,18.7,1
356,46,19.0,107,34.0,6111.25,1
357,45,35.0,154,59.0,11285.4,2
358,24,22.0,71,31.0,1734.33,1
359,48,0.1,16,0.2,254.93,1
360,47,7.0,80,30.0,4292.15,1
361,23,10.0,60,20.0,1785.73,1
362,48,20.0,163,71.0,14284.0,2
363,46,4.5,31,12.0,449.98,1
364,48,0.1,27,0.3,683.87,1
365,48,0.9,23,5.3,323.95,1
366,46,11.0,104,33.0,8479.11,2
367,24,12.0,29,20.0,320.42,1
368,48,0.1,23,0.3,310.73,1
369,46,0.1,15,11.0,422.08,1
370,24,170.0,189,173.0,306.3,1
371,48,0.1,21,0.2,334.24,1
372,40,0.1,10,7.0,178.3,1
373,47,24.0,209,154.0,29417.7,0
374,48,2.8,29,11.0,508.45,1
375,47,0.1,24,2.0,451.48,1
376,43,10.0,85,24.0,5110.9,1
377,24,24.0,44,31.0,196.45,1
378,48,0.1,21,0.2,460.68,1
379,48,0.1,27,0.3,563.13,1
380,42,0.9,14,2.5,66.63,1
381,24,84.0,253,159.0,22917.8,0
382,47,9.0,97,40.0,8010.79,2
383,48,0.1,15,0.2,199.02,1
384,35,1.6,4,3.0,8.05,1
385,48,5.1,61,21.1,2232.78,1
386,28,0.1,12,2.0,140.77,1
387,48,1.0,34,11.0,891.02,1
388,37,3.1,10,6.0,32.55,1
389,19,9.0,31,23.0,276.08,1
390,48,0.1,16,0.2,222.0,1
391,48,0.1,19,0.2,230.3,1
392,46,0.1,17,0.2,370.25,1
393,14,19.0,28,22.0,78.08,1
394,48,30.0,201,109.0,24033.6,0
395,44,0.1,32,0.3,438.55,1
396,46,2.5,21,7.8,267.95,1
397,48,1.3,15,5.0,150.48,1
398,32,1.6,5,4.0,8.6,1
399,48,15.0,178,72.0,25056.9,0
400,24,12.0,26,17.0,98.68,1
401,39,2.1,7,5.0,25.43,1
402,42,19.0,214,68.0,19897.8,2
403,48,1.7,17,5.7,191.94,1
404,40,2.6,9,5.0,29.3,1
405,24,39.0,55,45.0,204.27,1
406,48,0.1,13,0.2,95.54,1
407,48,25.0,124,38.0,9967.02,2
408,42,2.6,6,5.0,18.58,1
409,24,46.0,85,66.0,1218.1,1
410,24,25.0,49,32.0,588.62,1
411,24,155.0,196,175.0,1316.23,1
412,36,0.5,11,3.2,85.11,1
413,24,31.0,69,52.0,1489.49,1
414,43,1.1,17,3.0,88.21,1
415,47,1.4,24,7.0,366.33,1
416,48,4.9,31,12.0,477.27,1
417,48,47.0,189,92.0,18640.7,2
418,48,1.3,18,6.5,237.5,1
419,48,20.0,194,91.0,26494.0,0
420,45,2.5,35,11.0,410.82,1
421,48,7.4,59,17.0,1755.53,1
422,48,2.1,26,8.0,430.66,1
423,48,1.0,19,5.5,249.27,1
424,48,14.0,160,69.0,19772.9,2
425,24,20.0,40,28.0,459.98,1
426,24,3.0,29,11.0,347.81,1
427,33,2.1,5,4.0,11.75,1
428,48,15.0,122,43.0,8437.73,2
429,33,2.1,6,4.0,9.09,1
430,48,1.9,33,9.6,639.59,1
431,48,6.9,41,16.0,903.67,1
432,44,0.1,12,7.0,193.34,1
433,48,41.0,159,91.0,11923.0,2
434,48,5.1,43,16.0,1352.6,1
